game_date,pitcher,pitcher_id,team,opponent,starts_seen,expected_bf,expected_k,k_rate,batters_faced,strikeouts,innings_pitched,prob_k_over_5.5,prob_k_over_6.5,k_error,bf_error,career_starts,days_since_last_start,outs_recorded,expected_outs,implied_baserunners,prob_outs_over_14.5,prob_outs_over_15.5,prob_outs_over_16.5,prob_outs_over_17.5,prob_outs_over_18.5,outs_error,k_dist,outs_dist,k_rate_base,velo_z_used,velo_base,velo_recent,velo_drop,velo_state,kform_base,kform_recent,kform_z,kform_state
2026-09-01,Jake Irvin,663623,WSH,ATL,22,21.831619486242907,4.384316614079259,0.2214883308489873,18,5,4.0,0.2824975455733639,0.158865478353753,-0.6156833859207413,3.831619486242907,,,12.0,,,,,,,,,"0.014647,0.058224,0.120249,0.171132,0.187136,0.166114,0.123632,0.078840,0.043772,0.021423,0.009333,0.003646,0.001284,0.000409,0.000118,0.000031,0.000007,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,AJ Smith-Shawver,700363,ATL,WSH,3,22.19535588086825,4.355993479528977,0.2127405356572126,21,5,4.0,0.2772080857292214,0.1548390349351573,-0.6440065204710228,1.1953558808682487,,,12.0,,,,,,,,,"0.014758,0.058949,0.121964,0.173139,0.188209,0.165773,0.122369,0.077410,0.042638,0.020693,0.008929,0.003450,0.001199,0.000377,0.000107,0.000028,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Jedixson Paez,699151,BOS,SEA,0,22.74558303886926,4.32920644070661,0.227202112785459,23,3,3.6666666666666665,0.271495716931304,0.1502109045686164,1.32920644070661,-0.2544169611307403,,,11.0,,,,,,,,,"0.014579,0.059117,0.123357,0.175440,0.189987,0.166024,0.121285,0.075839,0.041282,0.019808,0.008457,0.003235,0.001114,0.000346,0.000097,0.000025,0.000006,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Robert Gasser,688107,MIL,CHC,18,21.713843184259275,4.237305828355751,0.2198121512521458,19,4,4.333333333333333,0.2591648378025595,0.1424610366635685,0.2373058283557512,2.713843184259275,,,13.0,,,,,,,,,"0.017405,0.065748,0.130003,0.178053,0.188030,0.161596,0.116704,0.072362,0.039120,0.018648,0.007902,0.002992,0.001016,0.000310,0.000085,0.000021,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Troy Melton,675512,DET,MIN,17,23.22139356141408,4.2000046540006775,0.2129838148320939,25,4,5.333333333333333,0.2497586578642535,0.1346702074938439,0.2000046540006774,-1.7786064385859213,,,16.0,,,,,,,,,"0.016321,0.064808,0.131983,0.182614,0.191935,0.162581,0.115088,0.069755,0.036823,0.017139,0.007095,0.002629,0.000875,0.000262,0.000071,0.000017,0.000004,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Andrew Morris,702193,MIN,DET,2,19.83645377353515,4.1992975601066505,0.2239149572332056,5,0,1.0,0.2593297593809051,0.1462635853218808,4.1992975601066505,14.836453773535151,,,3.0,,,,,,,,,"0.020931,0.073412,0.135360,0.175914,0.180592,0.154461,0.113066,0.071942,0.040227,0.019939,0.008824,0.003506,0.001256,0.000407,0.000119,0.000032,0.000008,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Randy Dobnak,677976,KC,MIA,8,22.669625219109097,4.0911213755205535,0.2013933368825168,26,6,6.0,0.2327341971402298,0.1229399061800431,-1.9088786244794465,-3.330374780890903,,,18.0,,,,,,,,,"0.018459,0.070700,0.139472,0.187606,0.192171,0.158857,0.109794,0.064968,0.033466,0.015188,0.006124,0.002206,0.000712,0.000207,0.000054,0.000013,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Brady Basso,669620,ATH,TEX,1,20.509515839067635,3.923278060197576,0.2300020315244798,11,2,2.333333333333333,0.2130898150749401,0.1121461422657808,1.923278060197576,9.509515839067635,,,7.0,,,,,,,,,"0.025159,0.085393,0.152379,0.190191,0.185261,0.148527,0.100944,0.059258,0.030454,0.013844,0.005612,0.002041,0.000669,0.000198,0.000053,0.000013,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Spencer Miles,693686,TOR,CLE,4,19.64416554973397,3.8155049566663055,0.2095558222814164,4,0,1.0,0.1999855785971593,0.1043298326834411,3.8155049566663055,15.64416554973397,,,3.0,,,,,,,,,"0.029275,0.094385,0.160191,0.191903,0.181542,0.142718,0.095656,0.055527,0.028255,0.012732,0.005122,0.001852,0.000604,0.000178,0.000047,0.000011,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
2026-09-01,Randy Vásquez,681190,SD,CIN,25,21.24256701288504,3.695881380136687,0.1819128271270862,19,3,4.666666666666667,0.17602758689933,0.0865026989314752,0.695881380136687,2.24256701288504,,,14.0,,,,,,,,,"0.029099,0.096650,0.167885,0.201897,0.187195,0.141246,0.089525,0.048671,0.023037,0.009600,0.003552,0.001174,0.000348,0.000093,0.000022,0.000005,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000",,,,,,,,,,,
