game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,predicted_at_utc
823586,596019,Francisco Lindor,NYM,SD,1,1,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,4.521406972712636,3417,2521,0.14666218378217324,0.6626415815706035,0.4087142023951984,0.6574823980457017,0.7285351689105616,0.5341699068080261,0.36763572340722483,0.2347664524385201,2026-08-18T22:18:22Z
823586,665487,Fernando Tatis Jr.,SD,NYM,0,1,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.721621637267262,2499,204,0.14953980487070717,0.7053892648175307,0.3963881443963389,0.5761570333422906,0.7445593625810005,0.5545959810656068,0.3881001570123179,0.25257446848431464,2026-08-18T22:18:22Z
823586,666182,Bo Bichette,NYM,SD,1,2,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,4.367592668313394,3110,2521,0.11979223855134613,0.7001827330115765,0.3199561335480681,0.5900160055071685,0.7194463865699312,0.5226427222631265,0.35613686383937376,0.22480392468349475,2026-08-18T22:18:22Z
823586,650859,Luis Rengifo,SD,NYM,0,2,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.352472538263226,2300,204,0.08994824108730945,0.6513781749192478,0.2986863349337112,0.5083016145117466,0.6709534107563564,0.4691315448176758,0.30834090637053707,0.18731230983470995,2026-08-18T22:18:22Z
823586,673357,Luis Robert Jr.,NYM,SD,1,3,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,4.190405529005147,2223,2521,0.15948169408901525,0.6240277517459396,0.3289060745516154,0.7331620306833664,0.6884026948394933,0.4864774275598755,0.3224280079334718,0.1973220434933081,2026-08-18T22:18:22Z
823586,592518,Manny Machado,SD,NYM,0,3,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.477382789758328,3337,204,0.1638123596317436,0.672486864500999,0.3271705070465329,0.5875177865956895,0.722050471512497,0.5262726316915829,0.3600245210543303,0.228380217250216,2026-08-18T22:18:22Z
823586,701807,Carson Benge,NYM,SD,1,4,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,4.121709504687918,542,2521,0.09325597790590091,0.6472915295979306,0.3290805426652974,0.6649210855878072,0.6722833523164315,0.46835430366823927,0.3059894520946016,0.1842386034905885,2026-08-18T22:18:22Z
823586,664034,Ty France,SD,NYM,0,4,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.244398147068873,2945,204,0.10821632028903053,0.6716946930491564,0.3148875708475948,0.5408527343804179,0.678053763060801,0.4756669488436765,0.31325662662225195,0.19050371114805453,2026-08-18T22:18:22Z
823586,682626,Francisco Alvarez,NYM,SD,1,5,confirmed,Robbie Ray,Citi Field,2026-08-18T23:10:00Z,3.709458447868791,1568,2521,0.1483390895452845,0.5666164125460628,0.3910010024877288,0.7256421053358912,0.6334337568686416,0.4268220784571399,0.2697967138790645,0.15646340526880068,2026-08-18T22:18:22Z
823586,701538,Jackson Merrill,SD,NYM,0,5,confirmed,Zac Thornton,Citi Field,2026-08-18T23:10:00Z,4.138125746246145,1830,204,0.12032366845762149,0.6456309187405755,0.23249010220016855,0.5917189394598886,0.6840726518076145,0.4816921886067374,0.3181692240289785,0.1940035639504879,2026-08-18T22:18:22Z
