game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,exp_runs,form_z,form_state,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc,starter_share
823904,686611,Dylan Crews,WSH,LAD,0,9,confirmed,Tyler Glasnow,UNIQLO Field at Dodger Stadium,2026-09-06T01:10:00Z,3.6227519866164783,820,1591,0.38521470358049514,-0.7932283115530172,Normal,0.07987013558393738,0.4966770622166137,0.2614238976980246,0.7675704164206556,0.5783185555785308,0.3728194890019807,0.22638838596317049,0.12535549645411623,0.47285547827661434,0.24953794999975204,0.13798828019980147,0.10110349407884857,0.48495534505007015,0.12928655300868314,0.01941080501034592,2026-09-05T22:40:34Z,0.5684285218047678
824066,695600,Carter Jensen,KC,TOR,1,1,confirmed,Max Scherzer,Kauffman Stadium,2026-09-05T23:10:00Z,4.443308771095793,598,1969,0.646895375953313,1.714728680508954,Normal,0.17817542161765776,0.6304712261683109,0.4515993635631656,0.7501767301710175,0.7046997800348639,0.5043935244913131,0.3391568023241473,0.2109378063637143,0.6540923387925921,0.4124824294201175,0.2556223065640594,0.18201242782608437,0.6107662024474517,0.22938151091833,0.052921299095227116,2026-09-05T22:40:34Z,0.6178432635163629
824066,703520,Brett Bateman,TOR,KC,0,1,confirmed,Seth Lugo,Kauffman Stadium,2026-09-05T23:10:00Z,4.614423756775866,107,2985,0.6231495122515015,1.2962886357873817,Normal,0.09561646491666385,0.7104614536786384,0.36103056884304346,0.6263575305256671,0.721383437590697,0.524803203808514,0.3589285999102516,0.22765493690305333,0.6423660932698312,0.40153053855747245,0.24775770760327345,0.17675273630673918,0.6851267124670354,0.3085427348388402,0.08962655639786542,2026-09-05T22:40:34Z,0.6567359477228943
824066,677951,Bobby Witt Jr.,KC,TOR,1,2,confirmed,Max Scherzer,Kauffman Stadium,2026-09-05T23:10:00Z,4.328354978354978,3266,1969,0.5497097289107719,0.010459697398697712,Normal,0.11975395911367145,0.6879752723534779,0.2477698683314505,0.6457590005943615,0.7162471687637113,0.5170265343907047,0.35023247263015567,0.21942415885198252,0.6567738262286384,0.41458638122960634,0.25682494322938754,0.18267226206866657,0.664321449235223,0.2820158429943067,0.07451609195055853,2026-09-05T22:40:34Z,0.6090487242643473
824066,543807,George Springer,TOR,KC,0,2,confirmed,Seth Lugo,Kauffman Stadium,2026-09-05T23:10:00Z,4.523716699155296,2919,2985,0.5343967226613344,1.0375520158325693,Normal,0.11263437505289445,0.6708456194574708,0.32251063938179675,0.5871694767401763,0.7044274376760857,0.5046756522183212,0.3398903970554562,0.2118989473005687,0.6228637630016287,0.3814050121110691,0.23193734936729296,0.16555972470828967,0.6483708879907153,0.2672405506627206,0.0693677114614533,2026-09-05T22:40:34Z,0.654123550580315
824066,695506,Jac Caglianone,KC,TOR,1,3,confirmed,Max Scherzer,Kauffman Stadium,2026-09-05T23:10:00Z,4.225346112886049,741,1969,0.4952008924664934,0.9712377147774273,Normal,0.16553333100993126,0.6435867638458118,0.29176126004534736,0.6683041948358875,0.6895810399463964,0.4860099683204165,0.32148720728898333,0.19613004351264846,0.6486183800942169,0.40523244757837024,0.2489931790030534,0.17699411916221855,0.6230809383914225,0.23867485166232186,0.05523623180740815,2026-09-05T22:40:34Z,0.5945883314890557
824066,665489,Vladimir Guerrero Jr.,TOR,KC,0,3,confirmed,Seth Lugo,Kauffman Stadium,2026-09-05T23:10:00Z,4.410891089108911,3302,2985,0.4476905769009527,1.0164119259302533,Normal,0.09135150778323095,0.6776478876145594,0.28170696688240704,0.4899067191432519,0.6955544176763073,0.49421966566106074,0.3300452259688694,0.20377888600439412,0.6106398971254129,0.36905098434885747,0.22235119358865804,0.15881118951136358,0.654710612833235,0.2731113635194092,0.07147950657428329,2026-09-05T22:40:34Z,0.6521180059379648
824066,521692,Salvador Perez,KC,TOR,1,4,confirmed,Max Scherzer,Kauffman Stadium,2026-09-05T23:10:00Z,4.143343879289365,2897,1969,0.3447440939082093,1.165512481072532,Normal,0.12492127954307357,0.6220829881498122,0.19278645816386186,0.6686871257347314,0.6584704119311745,0.4521079292548576,0.29155300196504286,0.17287448250583246,0.5985297608054464,0.355497093890839,0.21116996885266046,0.1507529290010907,0.6030342257504545,0.2192981353568253,0.04735832409618807,2026-09-05T22:40:34Z,0.5769368814790661
824066,672386,Alejandro Kirk,TOR,KC,0,4,confirmed,Seth Lugo,Kauffman Stadium,2026-09-05T23:10:00Z,4.333088054942359,2107,2985,0.36278089226488985,-0.048836114619635926,Normal,0.08846346464317859,0.6637433404204115,0.3007424259181801,0.46220578684419833,0.6656539090775908,0.46110644573275117,0.30035553073330995,0.180347784890931,0.5890491462441932,0.34815372896185864,0.2066063051562169,0.14786234570654727,0.64180674232233,0.25876808987059025,0.06454373722745754,2026-09-05T22:40:34Z,0.6400696351179674
824066,686469,Vinnie Pasquantino,KC,TOR,1,5,confirmed,Max Scherzer,Kauffman Stadium,2026-09-05T23:10:00Z,4.024135876042908,2199,1969,0.4251480931029299,0.6572292202568122,Normal,0.13866163361722944,0.6231507984943329,0.34985622468395816,0.4733440984501066,0.6705621750827426,0.46425500821329985,0.30154741920440514,0.1801102667776688,0.6138942023558577,0.3694394291935087,0.22109054980188234,0.15743572566819952,0.6040672333771326,0.21924396577533145,0.04677504833136049,2026-09-05T22:40:34Z,0.556169801212645
