game_pk,player_id,name,team,opponent,is_home,lineup_slot,lineup_status,opposing_pitcher,venue_name,start_time_utc,expected_pa,batter_pa_seen,pitcher_pa_seen,prob_hr,prob_hit,prob_walk,prob_k,prob_hrr_over_0.5,prob_hrr_over_1.5,prob_hrr_over_2.5,prob_hrr_over_3.5,prob_tb_over_0.5,prob_tb_over_1.5,prob_tb_over_2.5,prob_tb_over_3.5,prob_hits_over_0.5,prob_hits_over_1.5,prob_hits_over_2.5,predicted_at_utc
824476,668709,JJ Bleday,CIN,STL,1,5,projected,Matthew Liberatore,Great American Ball Park,2026-08-19T22:40:00Z,3.9431203585392063,2133,2225,0.12887087391508384,0.5799376788484812,0.3929364725493734,0.6429359392461527,0.6484699410915291,0.4417358145764135,0.2819331014937906,0.1654205282022162,0.5866536531202353,0.3444615988290328,0.20269366959560778,0.14404406754058766,0.5626746102700096,0.1859585306839834,0.03587243944439654,2026-08-19T16:45:40Z
824476,691023,Jordan Walker,STL,CIN,0,5,projected,Chase Burns,Great American Ball Park,2026-08-19T22:40:00Z,4.1565422961485154,1784,795,0.10138535696412504,0.626442990311139,0.2633226986340651,0.7781680981345286,0.6628010658958315,0.4578225945692084,0.29652539904773645,0.17704122259982816,0.5844547927272863,0.3436057632155775,0.20271972616600276,0.14426137902151734,0.6060183910050937,0.2248003971885767,0.050581945014630016,2026-08-19T16:45:40Z
824476,553993,Eugenio Suárez,CIN,STL,1,6,projected,Matthew Liberatore,Great American Ball Park,2026-08-19T22:40:00Z,3.9431203585392063,3274,2225,0.2184082710749943,0.6155815475544291,0.3663726608396687,0.7726213870442068,0.693101002089171,0.48926757489374545,0.3229679083866306,0.19647553641572144,0.670895676977684,0.42800826129149333,0.2658307972408989,0.18745706359149922,0.5959822176330819,0.21344329985727753,0.044887764788051274,2026-08-19T16:45:40Z
824476,701675,Nathan Church,STL,CIN,0,6,projected,Chase Burns,Great American Ball Park,2026-08-19T22:40:00Z,3.4262059906327678,502,795,0.09895365326891521,0.5339689959774775,0.28505568403258147,0.5728976972001716,0.575923845740226,0.36948646550977543,0.22241336518968616,0.12208883567651782,0.5141735344182157,0.28044015457674276,0.15751760609572693,0.11349076622221513,0.5196771056869168,0.15108476718195377,0.024586289103381155,2026-08-19T16:45:40Z
824476,663886,Tyler Stephenson,CIN,STL,1,7,projected,Matthew Liberatore,Great American Ball Park,2026-08-19T22:40:00Z,3.666671153627598,2135,2225,0.1342264048843213,0.6178588327341221,0.33261412211301866,0.6228037797259622,0.6555644064756377,0.44785759453167834,0.28627115989441426,0.16804853744588397,0.6067954372818147,0.3620035502086922,0.21481249255294094,0.15210214563088154,0.5981764365280837,0.21388214688702706,0.044357819739794815,2026-08-19T16:45:40Z
824476,677592,Everson Pereira,STL,CIN,0,7,projected,Chase Burns,Great American Ball Park,2026-08-19T22:40:00Z,3.393865803495352,395,795,0.0916640079742488,0.4980338948810584,0.26432213318880565,0.8479755986224836,0.5428354192160765,0.3397911547634155,0.199725243494108,0.10662556768211126,0.4855326324546224,0.25776305796451976,0.14247290810271449,0.10337810771146659,0.48575638415509814,0.1284153503033274,0.018624451582560066,2026-08-19T16:45:40Z
824476,669911,Michael Toglia,CIN,STL,1,8,projected,Matthew Liberatore,Great American Ball Park,2026-08-19T22:40:00Z,3.408163182722553,1340,2225,0.11390961371877784,0.5210708448847612,0.27706858816114005,0.804655484774583,0.5908109504567507,0.3826050764194546,0.23216318791871612,0.12849107861296163,0.5330660180116981,0.2951851016390495,0.16707754247491402,0.11981643347606238,0.507549821588978,0.14206630696638473,0.021757650018659085,2026-08-19T16:45:40Z
824476,686780,Pedro Pagés,STL,CIN,0,8,projected,Chase Burns,Great American Ball Park,2026-08-19T22:40:00Z,3.2470039682062857,921,795,0.0729074407477691,0.4959828962017523,0.18373003258432602,0.7272097655129057,0.5266759797281066,0.32472990955341874,0.18790349139808377,0.0983785431438025,0.4608620674239458,0.23826546590608808,0.129555290429269,0.09470141991036841,0.48394560173849765,0.12530732941672296,0.017205492300374693,2026-08-19T16:45:40Z
824476,624431,Jose Trevino,CIN,STL,1,9,projected,Matthew Liberatore,Great American Ball Park,2026-08-19T22:40:00Z,3.0407260356179844,1341,2225,0.10124790846165735,0.5443613816142528,0.18353373537139095,0.37425659193282546,0.576866662659294,0.3659691495337534,0.2169322206876784,0.11650762306419978,0.5233669469491212,0.28349360359505893,0.15761832529887876,0.11332572317050041,0.5298716583648656,0.15126553352412792,0.021697549339801264,2026-08-19T16:45:40Z
824476,665877,José Fermín,STL,CIN,0,9,projected,Chase Burns,Great American Ball Park,2026-08-19T22:40:00Z,2.912422462029783,650,795,0.05448758973845256,0.464297627449094,0.24586028949598604,0.42118602720455933,0.4872557570008264,0.2892106471228795,0.16074450366814289,0.07988983556073831,0.42525812102773813,0.21017319718191793,0.11100782120537596,0.08227419188723946,0.45422402804451506,0.10277866475193317,0.010597535041090565,2026-08-19T16:45:40Z
824640,691718,Pete Crow-Armstrong,CHC,CWS,1,1,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,4.328771770825253,1794,1085,0.14173332341744455,0.6429922607062072,0.4113010862407278,0.7422566788587625,0.7164297246987839,0.5187830001893939,0.3522764155336088,0.22170960136414467,0.6394504911975042,0.3981817373273695,0.2444700834941841,0.173399077151071,0.6213304692937937,0.2413896911876425,0.05846814268131533,2026-08-19T16:45:40Z
824640,803011,Sam Antonacci,CWS,CHC,0,1,confirmed,Clay Holmes,Wrigley Field,2026-08-19T18:20:00Z,4.6216434894108565,453,2011,0.10053188829833551,0.66480089916829,0.48579041255958977,0.522503856317976,0.7125988034034868,0.5153588764320561,0.34992726359836085,0.2204556401629814,0.6129021469330839,0.372796338441764,0.22561695094072354,0.1604463380676624,0.6415228751783124,0.26315041409764117,0.06886849951962316,2026-08-19T16:45:40Z
824640,673548,Seiya Suzuki,CHC,CWS,1,2,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,4.328771770825252,2887,1085,0.1706166683518141,0.6822322952941399,0.4385507871478183,0.6921981133510461,0.7366225949706305,0.5421008970607539,0.37366480728499124,0.23877853167621257,0.6819587344352787,0.44261606519706775,0.2793677212473595,0.19786766718797077,0.6577318036075687,0.27717245776982147,0.07319702432546522,2026-08-19T16:45:40Z
824640,808959,Munetaka Murakami,CWS,CHC,0,2,confirmed,Clay Holmes,Wrigley Field,2026-08-19T18:20:00Z,4.6216434894108565,424,2011,0.20990658508031024,0.6348351764769163,0.5514227073095062,0.8224317961267482,0.7513066833379409,0.5614813258239212,0.39360713239919004,0.2565159274845653,0.6724425635364758,0.43357549134261203,0.27299785751864375,0.1937806740713819,0.6137215493731228,0.23501220703213355,0.05643526072332263,2026-08-19T16:45:40Z
824640,608324,Alex Bregman,CHC,CWS,1,3,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,4.328771770825253,3414,1085,0.14920849999200017,0.6744950929124724,0.4466275948307511,0.5052324495363975,0.7207203661010027,0.5226280448284081,0.35491935757108006,0.22312940848552956,0.6589062802347044,0.4171512376337804,0.2586035880754131,0.18304354727548316,0.6505996243192711,0.2688860456832489,0.0690551562760411,2026-08-19T16:45:40Z
824640,678246,Miguel Vargas,CWS,CHC,0,3,confirmed,Clay Holmes,Wrigley Field,2026-08-19T18:20:00Z,4.298337864896104,1920,2011,0.10166226734946114,0.5811238883822254,0.4045502638374023,0.6530250078094243,0.6491673464941019,0.4445946990229363,0.2859231389386421,0.16956211113647524,0.5665147666478172,0.32841128396473757,0.19230297201925742,0.13728222991080513,0.5636377276292528,0.1899521186587676,0.038866561057840775,2026-08-19T16:45:40Z
824640,683737,Michael Busch,CHC,CWS,1,4,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,4.0672146847823605,2022,1085,0.11679306168360526,0.6116239704921724,0.4131666004559848,0.6575259294251807,0.6730428872561576,0.46815366064139435,0.3050389830783669,0.18319184730991742,0.5938304105061009,0.35167060369426584,0.20825189571573263,0.1479358230337203,0.5922467553032678,0.21153427193626498,0.045091144403192375,2026-08-19T16:45:40Z
824640,643217,Andrew Benintendi,CWS,CHC,0,4,confirmed,Clay Holmes,Wrigley Field,2026-08-19T18:20:00Z,4.246189922603291,2705,2011,0.0979605940196667,0.6329610895103203,0.3506854043698394,0.5673248646455379,0.6628909553869132,0.4584365114784823,0.29744122870671497,0.1780244303482076,0.5852595761917122,0.34485780943259986,0.20390416356233235,0.14515118597078755,0.6120525983600864,0.23123232141061598,0.05358159207407837,2026-08-19T16:45:40Z
824640,663538,Nico Hoerner,CHC,CWS,1,5,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,4.0672146847823605,3262,1085,0.07802977655458615,0.6862547382313825,0.30242336808916737,0.3937079624675206,0.6908444166906696,0.4871962023926297,0.3214772021742423,0.1956002998195765,0.6088089282588078,0.3653634873252957,0.21803793797151508,0.15452369764949078,0.6615015215304921,0.27817556031273705,0.07136616555585862,2026-08-19T16:45:40Z
824640,695731,Braden Montgomery,CWS,CHC,0,5,confirmed,Clay Holmes,Wrigley Field,2026-08-19T18:20:00Z,4.000743955441092,273,2011,0.08473541979758888,0.6000710357278614,0.40858457513165797,0.6014132430294167,0.6367119785079569,0.4306043717638192,0.2732576047974911,0.15950613259596558,0.5599113498769571,0.3213953147184502,0.1867489572550751,0.13337184075685987,0.5814505848588457,0.20277885529528952,0.04238683347027456,2026-08-19T16:45:40Z
824640,699393,Pedro Ramírez,CHC,CWS,1,6,confirmed,Sean Newcomb,Wrigley Field,2026-08-19T18:20:00Z,3.5020919109097637,188,1085,0.07469166903695616,0.5859948660772503,0.2988613981179558,0.4948615497426914,0.6236340991695799,0.41411520661679513,0.257426904228036,0.14647018365859155,0.5377115954933399,0.2992827497034943,0.1700349869995091,0.12187357821002036,0.5685729905987206,0.18675684816028584,0.03465518974781878,2026-08-19T16:45:40Z
