game_date,label,n,base_rate,mean_pred,auc,brier,brier_skill,clean_n,clean_base_rate,clean_mean_pred,clean_auc,clean_brier,clean_brier_skill
2026-08-19,Hits over 0.5,270,0.5851851851851851,0.5791697866901767,0.5541930379746836,0.2405505205439855,0.0090340784552132,162.0,0.6049382716049383,0.5773746456971787,0.5601084183673468,0.2373238225159374,0.0069632656077383
2026-08-19,Hits over 1.5,270,0.2074074074074074,0.203666040066902,0.5079272363150867,0.1668168060021703,-0.0147651166186761,162.0,0.2098765432098765,0.2021489263324462,0.5457261029411765,0.1667219295163024,-0.0053884003276292
2026-08-19,Hits over 2.5,270,0.0407407407407407,0.0441385352537368,0.4756054756054755,0.0396607885572313,-0.0148373063608873,162.0,0.0555555555555555,0.0436377138961451,0.5664488017429193,0.0525779519590031,-0.0020739079245311
2026-08-20,at least 1 home run,151,0.0728476821192053,0.1068531561157209,0.6201298701298701,0.0688919714239193,-0.0200037924914189,97.0,0.0515463917525773,0.1110985624797467,0.6869565217391305,0.0524984175141977,-0.0738208921545366
2026-08-20,at least 1 hit,151,0.5894039735099338,0.5923367683651135,0.6255889815150416,0.23295690409359,0.0373957284817062,97.0,0.5463917525773195,0.5963198280222417,0.5694682675814751,0.2461536277600378,0.0068355559201563
2026-08-20,at least 1 walk,151,0.3245033112582781,0.3225720791678221,0.6094437775110044,0.2116303282277998,0.0345371920924236,97.0,0.2989690721649484,0.3317587288026728,0.6095334685598377,0.2053200078192909,0.0203570215153612
2026-08-20,H+R+RBI over 0.5,151,0.6754966887417219,0.6348957765490009,0.5986394557823129,0.2155923856067849,0.0164621880311519,97.0,0.6288659793814433,0.6403858094916144,0.5104735883424408,0.2367888968229977,-0.0145476913513598
2026-08-20,H+R+RBI over 1.5,151,0.4370860927152318,0.4314903237996246,0.5893048128342246,0.241708399689585,0.0176126165201017,97.0,0.422680412371134,0.437385756547589,0.507404181184669,0.249040588391753,-0.0205674634921619
2026-08-20,H+R+RBI over 2.5,151,0.2251655629139073,0.2755907632426742,0.6186525892408246,0.1728669885837175,0.0091653577935288,97.0,0.1958762886597938,0.2807494817385908,0.5263157894736842,0.1665543565771396,-0.0574291100096535
2026-08-20,H+R+RBI over 3.5,151,0.1589403973509933,0.162546747235783,0.6128608923884514,0.1314263641956818,0.0168462827999533,97.0,0.1546391752577319,0.1665163421393526,0.5772357723577235,0.1300251317616522,0.005360597767979
2026-08-20,Total bases over 0.5,151,0.5894039735099338,0.5658089728324781,0.5911562160202972,0.2369901136898467,0.0207300503366811,97.0,0.5463917525773195,0.5723772769518677,0.5274442538593482,0.2499161994400414,-0.0083454204679884
2026-08-20,Total bases over 1.5,151,0.2582781456953642,0.3278553705241742,0.5698260073260073,0.194871747526436,-0.0172323066278086,97.0,0.3092783505154639,0.3340173342619988,0.5517412935323383,0.2134800233030653,0.0006798312146555
